file	v7_label	v7_teacher_n	v7_other_n	v7_exact_agreement	v7_overlap_agreement	v7_additions	v7_removals	v7_type_changes	v7_boundary_changes	v7_assertion_changes	v7_candidate_changes	v7_teacher_by_type	v7_other_by_type	v10_label	v10_teacher_n	v10_other_n	v10_exact_agreement	v10_overlap_agreement	v10_additions	v10_removals	v10_type_changes	v10_boundary_changes	v10_assertion_changes	v10_candidate_changes	v10_teacher_by_type	v10_other_by_type
1	v7	50	57	24	45	26	33	2	20	5	4	"{""THUỐC"": 6, ""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 13, ""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 25, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	v10	50	57	25	45	25	32	2	19	5	4	"{""THUỐC"": 6, ""TRIỆU_CHỨNG"": 27, ""TÊN_XÉT_NGHIỆM"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 13, ""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 25, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"
10	v7	14	21	6	10	8	15	2	4	1	1	"{""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""TÊN_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 1}"	v10	14	21	6	10	8	15	2	4	1	1	"{""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""TÊN_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 1}"
100	v7	33	38	16	24	17	22	3	8	10	3	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 16, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 11, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4}"	v10	33	38	16	24	17	22	3	8	10	3	"{""CHẨN_ĐOÁN"": 6, ""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 16, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 11, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4}"
11	v7	7	17	1	3	6	16	6	4	1	6	"{""CHẨN_ĐOÁN"": 6, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 9, ""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 1}"	v10	7	17	1	3	6	16	6	4	1	6	"{""CHẨN_ĐOÁN"": 6, ""THUỐC"": 1}"	"{""TRIỆU_CHỨNG"": 9, ""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 1}"
12	v7	22	30	7	18	15	23	3	12	1	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 14, ""THUỐC"": 2, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 24, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	22	30	7	18	15	23	3	12	1	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 14, ""THUỐC"": 2, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 24, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
13	v7	32	56	15	21	17	41	11	10	4	16	"{""CHẨN_ĐOÁN"": 9, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 16}"	"{""TRIỆU_CHỨNG"": 35, ""THUỐC"": 10, ""TÊN_XÉT_NGHIỆM"": 5, ""CHẨN_ĐOÁN"": 6}"	v10	32	56	15	21	17	41	11	10	4	16	"{""CHẨN_ĐOÁN"": 9, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 16}"	"{""TRIỆU_CHỨNG"": 35, ""THUỐC"": 10, ""TÊN_XÉT_NGHIỆM"": 5, ""CHẨN_ĐOÁN"": 6}"
14	v7	10	19	4	6	6	15	2	3	0	0	"{""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 5, ""TRIỆU_CHỨNG"": 14}"	v10	10	19	4	6	6	15	2	3	0	0	"{""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 3, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3, ""CHẨN_ĐOÁN"": 1}"	"{""TÊN_XÉT_NGHIỆM"": 5, ""TRIỆU_CHỨNG"": 14}"
15	v7	2	8	1	2	1	7	2	2	0	2	"{""CHẨN_ĐOÁN"": 2}"	"{""TRIỆU_CHỨNG"": 4, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 2}"	v10	2	8	1	2	1	7	2	2	0	2	"{""CHẨN_ĐOÁN"": 2}"	"{""TRIỆU_CHỨNG"": 4, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 2}"
16	v7	44	72	20	32	24	52	12	14	10	7	"{""CHẨN_ĐOÁN"": 12, ""TRIỆU_CHỨNG"": 29, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 54, ""CHẨN_ĐOÁN"": 6, ""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	44	72	21	33	23	51	11	13	10	7	"{""CHẨN_ĐOÁN"": 12, ""TRIỆU_CHỨNG"": 29, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 53, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
17	v7	46	56	23	30	23	33	5	8	4	3	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 19, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	"{""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 31, ""TÊN_XÉT_NGHIỆM"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1, ""THUỐC"": 3}"	v10	46	56	23	30	23	33	5	8	4	3	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 19, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	"{""CHẨN_ĐOÁN"": 3, ""TRIỆU_CHỨNG"": 31, ""TÊN_XÉT_NGHIỆM"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1, ""THUỐC"": 3}"
18	v7	13	16	5	8	8	11	4	5	0	3	"{""CHẨN_ĐOÁN"": 5, ""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 11, ""TÊN_XÉT_NGHIỆM"": 5}"	v10	13	16	6	9	7	10	3	4	0	2	"{""CHẨN_ĐOÁN"": 5, ""TRIỆU_CHỨNG"": 6, ""TÊN_XÉT_NGHIỆM"": 2}"	"{""TRIỆU_CHỨNG"": 10, ""TÊN_XÉT_NGHIỆM"": 5, ""CHẨN_ĐOÁN"": 1}"
19	v7	18	25	9	12	9	16	5	6	6	2	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 10}"	"{""TRIỆU_CHỨNG"": 20, ""TÊN_XÉT_NGHIỆM"": 2, ""THUỐC"": 3}"	v10	18	25	9	14	9	16	3	6	6	4	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 10}"	"{""TRIỆU_CHỨNG"": 18, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 2, ""THUỐC"": 3}"
2	v7	7	11	5	6	2	6	1	2	0	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 6}"	"{""TRIỆU_CHỨNG"": 7, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 2}"	v10	7	11	5	6	2	6	1	2	0	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 6}"	"{""TRIỆU_CHỨNG"": 7, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 2}"
20	v7	48	79	19	29	29	60	15	16	12	7	"{""CHẨN_ĐOÁN"": 18, ""TÊN_XÉT_NGHIỆM"": 9, ""THUỐC"": 2, ""TRIỆU_CHỨNG"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 44, ""CHẨN_ĐOÁN"": 15, ""TÊN_XÉT_NGHIỆM"": 17, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	48	79	19	29	29	60	15	16	12	7	"{""CHẨN_ĐOÁN"": 18, ""TÊN_XÉT_NGHIỆM"": 9, ""THUỐC"": 2, ""TRIỆU_CHỨNG"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 44, ""CHẨN_ĐOÁN"": 15, ""TÊN_XÉT_NGHIỆM"": 17, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
21	v7	5	9	0	1	5	9	4	1	3	4	"{""CHẨN_ĐOÁN"": 5}"	"{""TRIỆU_CHỨNG"": 6, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	5	9	0	1	5	9	4	1	3	4	"{""CHẨN_ĐOÁN"": 5}"	"{""TRIỆU_CHỨNG"": 6, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 1}"
22	v7	5	6	2	3	3	4	2	2	2	2	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 1, ""TÊN_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 3, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 2}"	v10	5	6	2	3	3	4	2	2	2	2	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 1, ""TÊN_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 3, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 2}"
23	v7	51	57	12	29	39	45	15	23	26	12	"{""CHẨN_ĐOÁN"": 16, ""TRIỆU_CHỨNG"": 32, ""TÊN_XÉT_NGHIỆM"": 3}"	"{""TRIỆU_CHỨNG"": 47, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	51	57	14	31	37	43	13	21	26	11	"{""CHẨN_ĐOÁN"": 16, ""TRIỆU_CHỨNG"": 32, ""TÊN_XÉT_NGHIỆM"": 3}"	"{""TRIỆU_CHỨNG"": 45, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 4, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
24	v7	19	32	9	18	10	23	1	10	3	1	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 15, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 21, ""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 3}"	v10	19	32	10	19	9	22	0	9	3	2	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 15, ""THUỐC"": 3}"	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 20, ""TÊN_XÉT_NGHIỆM"": 8, ""THUỐC"": 3}"
25	v7	4	5	3	3	1	2	1	0	2	1	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 2}"	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	4	5	3	3	1	2	1	0	2	1	"{""CHẨN_ĐOÁN"": 2, ""TRIỆU_CHỨNG"": 2}"	"{""CHẨN_ĐOÁN"": 1, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 1}"
26	v7	1	6	0	0	1	6	1	0	1	1	"{""CHẨN_ĐOÁN"": 1}"	"{""TRIỆU_CHỨNG"": 5, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	1	6	0	0	1	6	1	0	1	1	"{""CHẨN_ĐOÁN"": 1}"	"{""TRIỆU_CHỨNG"": 5, ""TÊN_XÉT_NGHIỆM"": 1}"
27	v7	18	36	9	14	9	27	4	6	6	6	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 11}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	18	36	9	14	9	27	4	6	6	6	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 11}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 2, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
28	v7	36	65	24	29	12	41	4	11	1	3	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""TRIỆU_CHỨNG"": 36, ""TÊN_XÉT_NGHIỆM"": 14, ""CHẨN_ĐOÁN"": 12, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	v10	36	65	25	30	11	40	3	10	1	3	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""CHẨN_ĐOÁN"": 13, ""TRIỆU_CHỨNG"": 35, ""TÊN_XÉT_NGHIỆM"": 14, ""THUỐC"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"
29	v7	7	9	6	7	1	3	0	2	1	0	"{""TRIỆU_CHỨNG"": 7}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 8}"	v10	7	9	6	7	1	3	0	2	1	0	"{""TRIỆU_CHỨNG"": 7}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 8}"
3	v7	65	165	34	49	31	131	9	20	9	7	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 32, ""TRIỆU_CHỨNG"": 129, ""CHẨN_ĐOÁN"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"	v10	65	165	38	50	27	127	8	16	6	6	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 32, ""TRIỆU_CHỨNG"": 128, ""CHẨN_ĐOÁN"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 3}"
30	v7	13	25	5	7	8	20	6	3	8	5	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 3}"	v10	13	25	5	7	8	20	6	3	8	5	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 3}"
31	v7	4	3	1	2	3	2	0	1	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 2}"	v10	4	3	1	2	3	2	0	1	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 2}"
32	v7	48	48	14	29	34	34	12	21	21	8	"{""TRIỆU_CHỨNG"": 28, ""CHẨN_ĐOÁN"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 33, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 2}"	v10	48	48	15	29	33	33	12	20	22	9	"{""TRIỆU_CHỨNG"": 28, ""CHẨN_ĐOÁN"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 32, ""CHẨN_ĐOÁN"": 3, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
33	v7	20	39	8	16	12	31	5	7	5	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 7, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	20	39	8	16	12	31	5	7	5	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 7, ""TÊN_XÉT_NGHIỆM"": 1}"
34	v7	18	37	9	15	9	28	3	5	0	4	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 15}"	"{""TRIỆU_CHỨNG"": 24, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"	v10	18	37	9	15	9	28	3	5	0	4	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 15}"	"{""TRIỆU_CHỨNG"": 24, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"
35	v7	50	54	22	37	28	32	12	14	2	11	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 21, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""TRIỆU_CHỨNG"": 28, ""THUỐC"": 4, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	v10	50	54	22	37	28	32	12	14	2	11	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 21, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""TRIỆU_CHỨNG"": 28, ""THUỐC"": 4, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"
36	v7	48	60	14	22	34	46	15	14	4	8	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 20, ""KẾT_QUẢ_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 16, ""TÊN_XÉT_NGHIỆM"": 12, ""THUỐC"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 14}"	v10	48	60	15	23	33	45	14	13	4	9	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 20, ""KẾT_QUẢ_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 15, ""TÊN_XÉT_NGHIỆM"": 12, ""THUỐC"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 14, ""CHẨN_ĐOÁN"": 1}"
37	v7	39	54	15	26	24	39	8	17	8	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 14, ""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	v10	39	54	16	27	23	38	7	16	8	8	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 14, ""TRIỆU_CHỨNG"": 11, ""CHẨN_ĐOÁN"": 3, ""THUỐC"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"
