file	entity_text	position	current_candidates	multi_score	local_support	top_local_icd_alternatives	section	reason
15	chấn	64-68	S06.0	10	multiple_sibling_or_alternate	"[{""id"": ""F07.2"", ""sim"": 0.75, ""name"": ""Hội chứng sau chấn động não""}, {""id"": ""F43.1"", ""sim"": 0.75, ""name"": ""Rối loạn stress sau sang chấn""}, {""id"": ""G44.3"", ""sim"": 0.75, ""name"": ""Đau đầu mãn tính sau chấn thương""}, {""id"": ""G91.3"", ""sim"": 0.75, ""name"": ""Tràn dịch não sau chấn thương, không đặc hiệu""}, {""id"": ""H26.1"", ""sim"": 0.75, ""name"": ""Đục thể thủy tinh do chấn thương""}]"	Lý do nhập viện: xuất huyết nội sọ không do	multiple_sibling_or_alternate
23	ăng huyết áp	56-68	Z01.3	10	multiple_sibling_or_alternate	"[{""id"": ""I10"", ""sim"": 0.92, ""name"": ""Bệnh lý tăng huyết áp""}, {""id"": ""I11"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp""}, {""id"": ""I11.0"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I11.9"", ""sim"": 0.92, ""name"": ""Bệnh tim do tăng huyết áp, không suy tim (sung huyết)""}, {""id"": ""I12"", ""sim"": 0.92, ""name"": ""Bệnh thận do tăng huyết áp""}]"	Bệnh tim mạch do xơ vữa động mạch.	multiple_sibling_or_alternate
28	u ác	291-295	C25	10	multiple_sibling_or_alternate	"[{""id"": ""B21"", ""sim"": 0.75, ""name"": ""Bệnh HIV gây u ác tính""}, {""id"": ""B21.3"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính khác của tổ chức bạch huyết, tạo máu và tổ chức liên quan""}, {""id"": ""B21.7"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến đa u ác tính""}, {""id"": ""B21.8"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính khác""}, {""id"": ""B21.9"", ""sim"": 0.75, ""name"": ""Bệnh HIV dẫn đến u ác tính không đặc hiệu""}]"	Tiền sử phẫu thuật / thủ thuật: phẫu thuật cắt bỏ tuyến tiền liệt (	multiple_sibling_or_alternate
53	blốc nhĩ thất	171-184	I44.2	10	multiple_sibling_or_alternate	"[{""id"": ""I44"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất và nhánh trái""}, {""id"": ""I44.0"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất độ I""}, {""id"": ""I44.1"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất độ II""}, {""id"": ""I44.2"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất, hoàn toàn""}, {""id"": ""I44.3"", ""sim"": 0.92, ""name"": ""Blốc nhĩ thất khác và không xác định""}]"	-	multiple_sibling_or_alternate
99	không biệt định	55-70	Q56.4	10	multiple_sibling_or_alternate	"[{""id"": ""F01.9"", ""sim"": 0.92, ""name"": ""Sa sút trí tuệ, không biệt định""}, {""id"": ""F03"", ""sim"": 0.92, ""name"": ""Sa sút trí tuệ không biệt định""}, {""id"": ""F05.9"", ""sim"": 0.92, ""name"": ""Sảng, không biệt định""}, {""id"": ""F06.9"", ""sim"": 0.92, ""name"": ""Các rối loạn tâm thần không biệt định do tổn thương não và rối loạn chức năng não và bệnh lý cơ thể""}, {""id"": ""F07.9"", ""sim"": 0.92, ""name"": ""Rối loạn nhân cách và hành vi thực thể không biệt định do bệnh não, tổn thương và rối loạn chức năng não""}]"	Bệnh lý mãn tính: rối loạn lo âu,	multiple_sibling_or_alternate
100	U ác của đại tràng	123-141	C17.0	8	multiple_sibling_or_alternate	"[{""id"": ""C18.2"", ""sim"": 0.92, ""name"": ""U ác của đại tràng lên""}, {""id"": ""C18.3"", ""sim"": 0.92, ""name"": ""U ác của đại tràng góc gan""}, {""id"": ""C18.4"", ""sim"": 0.92, ""name"": ""U ác của đại tràng ngang""}, {""id"": ""C18.5"", ""sim"": 0.92, ""name"": ""U ác của đại tràng góc lách""}, {""id"": ""C18.6"", ""sim"": 0.92, ""name"": ""U ác của đại tràng xuống""}]"	-	multiple_sibling_or_alternate
11	bệnh gút	77-85	M10.0	8	multiple_sibling_or_alternate	"[{""id"": ""M10.0"", ""sim"": 0.92, ""name"": ""Bệnh Gút vô căn""}, {""id"": ""M10.1"", ""sim"": 0.92, ""name"": ""Bệnh Gút do ngộ độc chì""}, {""id"": ""M10.2"", ""sim"": 0.92, ""name"": ""Bệnh Gút do thuốc""}, {""id"": ""M10.3"", ""sim"": 0.92, ""name"": ""Bệnh Gút do thương tổn chức năng thận""}, {""id"": ""M10.4"", ""sim"": 0.92, ""name"": ""Bệnh Gút thứ phát khác""}]"	-	multiple_sibling_or_alternate
13	tổn thương	2032-2042	T14.9	8	multiple_sibling_or_alternate	"[{""id"": ""A66.0"", ""sim"": 0.92, ""name"": ""Tổn thương ban đầu của ghẻ cóc""}, {""id"": ""A66.2"", ""sim"": 0.92, ""name"": ""Tổn thương da sớm khác của ghẻ cóc""}, {""id"": ""A66.6"", ""sim"": 0.92, ""name"": ""Tổn thương xương và khớp của ghẻ cóc""}, {""id"": ""A67.0"", ""sim"": 0.92, ""name"": ""Tổn thương tiên phát của pinta""}, {""id"": ""A67.1"", ""sim"": 0.92, ""name"": ""Tổn thương trung gian của pinta""}]"	- dịch tiết có vẻ như mủ từ một số	multiple_sibling_or_alternate
17	bệnh trào ngược dạ dày- thực quản	40-73	K21	8	parent_child_alternatives	"[{""id"": ""K21"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản""}, {""id"": ""K21.0"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản với viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}]"	Bệnh mãn tính:	parent_child_alternatives
20	hở van hai lá	2463-2476	I34.0	8	multiple_sibling_or_alternate	"[{""id"": ""I05.1"", ""sim"": 0.92, ""name"": ""Hở van hai lá do thấp""}, {""id"": ""I05.2"", ""sim"": 0.92, ""name"": ""Hẹp hở van hai lá""}, {""id"": ""Q23.3"", ""sim"": 0.92, ""name"": ""Hở van hai lá bẩm sinh""}]"	- chụp x-quang ngực: mức nước-khí	multiple_sibling_or_alternate
25	tách thành động mạch chủ	48-72	I71.0	8	parent_child_alternatives	"[{""id"": ""I71"", ""sim"": 0.92, ""name"": ""Phình và tách thành động mạch chủ""}, {""id"": ""I71.0"", ""sim"": 0.92, ""name"": ""Tách thành động mạch chủ (bất kỳ đoạn nào)""}, {""id"": ""I67.0"", ""sim"": 0.56, ""name"": ""Tách thành động mạch não, không vỡ""}]"	Bệnh lý mãn tính:	parent_child_alternatives
28	viêm túi mật cấp.	1694-1711	K81.0	8	parent_child_alternatives	"[{""id"": ""K81"", ""sim"": 0.92, ""name"": ""Viêm túi mật""}, {""id"": ""K81.0"", ""sim"": 0.92, ""name"": ""Viêm túi mật cấp""}]"	Diễn biến  trước khi nhập viện	parent_child_alternatives
43	hẹp van động mạch chủ	447-468	I35.0	8	multiple_sibling_or_alternate	"[{""id"": ""I06.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ do thấp""}, {""id"": ""Q23.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ bẩm sinh""}, {""id"": ""I06.2"", ""sim"": 0.7, ""name"": ""Hẹp Hở van động mạch chủ do thấp""}, {""id"": ""Q24.4"", ""sim"": 0.7, ""name"": ""Hẹp dưới van động mạch chủ bẩm sinh""}, {""id"": ""I06"", ""sim"": 0.56, ""name"": ""Bệnh van động mạch chủ do thấp""}]"	- đã thực hiện siêu âm tim cho thấy	multiple_sibling_or_alternate
43	hẹp van động mạch chủ	669-690	I35.0	8	multiple_sibling_or_alternate	"[{""id"": ""I06.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ do thấp""}, {""id"": ""Q23.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ bẩm sinh""}, {""id"": ""I06.2"", ""sim"": 0.7, ""name"": ""Hẹp Hở van động mạch chủ do thấp""}, {""id"": ""Q24.4"", ""sim"": 0.7, ""name"": ""Hẹp dưới van động mạch chủ bẩm sinh""}, {""id"": ""I06"", ""sim"": 0.56, ""name"": ""Bệnh van động mạch chủ do thấp""}]"	- đã thực hiện siêu âm tim gắng sức dobutamine ghi nhận	multiple_sibling_or_alternate
43	hẹp van động mạch chủ	1212-1233	I35.0	8	multiple_sibling_or_alternate	"[{""id"": ""I06.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ do thấp""}, {""id"": ""Q23.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ bẩm sinh""}, {""id"": ""I06.2"", ""sim"": 0.7, ""name"": ""Hẹp Hở van động mạch chủ do thấp""}, {""id"": ""Q24.4"", ""sim"": 0.7, ""name"": ""Hẹp dưới van động mạch chủ bẩm sinh""}, {""id"": ""I06"", ""sim"": 0.56, ""name"": ""Bệnh van động mạch chủ do thấp""}]"	- siêu âm tim cho thấy	multiple_sibling_or_alternate
43	hẹp van động mạch chủ	1294-1315	I35.0	8	multiple_sibling_or_alternate	"[{""id"": ""I06.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ do thấp""}, {""id"": ""Q23.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ bẩm sinh""}, {""id"": ""I06.2"", ""sim"": 0.7, ""name"": ""Hẹp Hở van động mạch chủ do thấp""}, {""id"": ""Q24.4"", ""sim"": 0.7, ""name"": ""Hẹp dưới van động mạch chủ bẩm sinh""}, {""id"": ""I06"", ""sim"": 0.56, ""name"": ""Bệnh van động mạch chủ do thấp""}]"	- siêu âm tim gắng sức dobutamine ghi nhận	multiple_sibling_or_alternate
43	hẹp van động mạch chủ	1423-1444	I35.0	8	multiple_sibling_or_alternate	"[{""id"": ""I06.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ do thấp""}, {""id"": ""Q23.0"", ""sim"": 0.92, ""name"": ""Hẹp van động mạch chủ bẩm sinh""}, {""id"": ""I06.2"", ""sim"": 0.7, ""name"": ""Hẹp Hở van động mạch chủ do thấp""}, {""id"": ""Q24.4"", ""sim"": 0.7, ""name"": ""Hẹp dưới van động mạch chủ bẩm sinh""}, {""id"": ""I06"", ""sim"": 0.56, ""name"": ""Bệnh van động mạch chủ do thấp""}]"	-	multiple_sibling_or_alternate
44	khả	569-572	M67.4	8	multiple_sibling_or_alternate	"[{""id"": ""K22.0"", ""sim"": 0.75, ""name"": ""Mất khả năng giãn của tâm vị""}, {""id"": ""Q90.1"", ""sim"": 0.75, ""name"": ""Ba nhiễm sắc thể, thể khảm (gián phân không phân ly)""}, {""id"": ""Q91.1"", ""sim"": 0.75, ""name"": ""Ba nhiễm sắc thể, thể khảm (gián phân không phân ly)""}, {""id"": ""Q91.5"", ""sim"": 0.75, ""name"": ""Ba nhiễm sắc thể 13, thể khảm (không phân ly khi gián phân)""}, {""id"": ""Q92.1"", ""sim"": 0.75, ""name"": ""Ba nhiễm sắc thể hoàn toàn, thể khảm (không phân ly khi gián phân)""}]"	- giảm	multiple_sibling_or_alternate
5	bệnh trào ngược dạ dày- thực quản	154-187	K21	8	parent_child_alternatives	"[{""id"": ""K21"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản""}, {""id"": ""K21.0"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản với viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.6, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}]"	-	parent_child_alternatives
64	bệnh túi thừa	436-449	K57	8	multiple_sibling_or_alternate	"[{""id"": ""K57"", ""sim"": 0.92, ""name"": ""Bệnh túi thừa của ruột""}, {""id"": ""K57.0"", ""sim"": 0.92, ""name"": ""Bệnh túi thừa của ruột non, có thủng và áp xe""}, {""id"": ""K57.1"", ""sim"": 0.92, ""name"": ""Bệnh túi thừa của ruột non, không thủng hay áp xe""}, {""id"": ""K57.2"", ""sim"": 0.92, ""name"": ""Bệnh túi thừa của đại tràng, có thủng và áp xe""}, {""id"": ""K57.3"", ""sim"": 0.92, ""name"": ""Bệnh túi thừa của đại tràng, không thủng hay áp xe""}]"	- Tiền sử đã biết của	multiple_sibling_or_alternate
72	u ác của đầu tuỵ	1387-1403	C25.0	8	parent_child_alternatives	"[{""id"": ""C25.0"", ""sim"": 0.56, ""name"": ""U ác của đầu tụy""}, {""id"": ""C43.4"", ""sim"": 0.56, ""name"": ""U hắc tố ác của đầu và cổ""}, {""id"": ""C60.1"", ""sim"": 0.56, ""name"": ""U da ác của quy đầu dương vật""}, {""id"": ""C76.0"", ""sim"": 0.56, ""name"": ""U ác của đầu mặt và cổ""}, {""id"": ""C77.0"", ""sim"": 0.56, ""name"": ""U ác của hạch của vùng đầu mặt cổ""}]"	-	parent_child_alternatives
77	Rối loạn lưỡng cực	219-237	F31	8	parent_child_alternatives	"[{""id"": ""F31"", ""sim"": 0.7, ""name"": ""Rối loạn cảm xúc lưỡng cực""}, {""id"": ""F31.8"", ""sim"": 0.7, ""name"": ""Rối loạn cảm xúc lưỡng cực khác""}, {""id"": ""F31.9"", ""sim"": 0.7, ""name"": ""Rối loạn cảm xúc lưỡng cực không biệt định""}]"	-	parent_child_alternatives
83	hở van hai lá	268-281	I34.0	8	multiple_sibling_or_alternate	"[{""id"": ""I05.1"", ""sim"": 0.92, ""name"": ""Hở van hai lá do thấp""}, {""id"": ""I05.2"", ""sim"": 0.92, ""name"": ""Hẹp hở van hai lá""}, {""id"": ""Q23.3"", ""sim"": 0.92, ""name"": ""Hở van hai lá bẩm sinh""}]"	-  siêu âm tim cho thấy	multiple_sibling_or_alternate
100	cơn đau thắt ngực	204-221	I20	7	multiple_sibling_or_alternate	"[{""id"": ""I20"", ""sim"": 1.0, ""name"": ""Cơn đau thắt ngực""}, {""id"": ""I20.0"", ""sim"": 0.92, ""name"": ""Cơn đau thắt ngực không ổn định""}, {""id"": ""I20.1"", ""sim"": 0.92, ""name"": ""Cơn đau thắt ngực do co thắt mạch""}, {""id"": ""I20.8"", ""sim"": 0.92, ""name"": ""Dạng khác của cơn đau thắt ngực""}, {""id"": ""I20.9"", ""sim"": 0.92, ""name"": ""Cơn đau thắt ngực, không đặc hiệu""}]"	-	multiple_sibling_or_alternate
15	xuất huyết nội sọ không do chấn thương, không đặc hiệu	205-259	I62.9	7	parent_child_alternatives	"[{""id"": ""I62.9"", ""sim"": 1.0, ""name"": ""Xuất huyết nội sọ không do chấn thương, không đặc hiệu""}, {""id"": ""I61"", ""sim"": 0.92, ""name"": ""Xuất huyết nội sọ""}]"	-	parent_child_alternatives
17	bệnh trào ngược dạ dày- thực quản không có viêm thực quản	40-97	K21.9	7	parent_child_alternatives	"[{""id"": ""K20"", ""sim"": 0.92, ""name"": ""Viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.63, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}]"	Bệnh mãn tính:	parent_child_alternatives
20	thoát vị hoành	2154-2168	K44	7	multiple_sibling_or_alternate	"[{""id"": ""K44"", ""sim"": 1.0, ""name"": ""Thoát vị hoành""}, {""id"": ""K44.0"", ""sim"": 0.92, ""name"": ""Thoát vị hoành có tắc, không hoại tử""}, {""id"": ""K44.1"", ""sim"": 0.92, ""name"": ""Thoát vị hoành có hoại tử""}, {""id"": ""K44.9"", ""sim"": 0.92, ""name"": ""Thoát vị hoành, không tắc hay hoại tử""}, {""id"": ""Q79.0"", ""sim"": 0.92, ""name"": ""Thoát vị hoành bẩm sinh""}]"	- chụp x-quang ngực: mức nước-khí	multiple_sibling_or_alternate
20	xẹp phổi	2198-2206	J98.1	7	multiple_sibling_or_alternate	"[{""id"": ""J98.1"", ""sim"": 1.0, ""name"": ""Xẹp phổi""}, {""id"": ""P28.0"", ""sim"": 0.92, ""name"": ""Xẹp phổi nguyên phát của trẻ sơ sinh""}, {""id"": ""P28.1"", ""sim"": 0.92, ""name"": ""Xẹp phổi khác và không xác định của trẻ sơ sinh""}]"	- chụp x-quang ngực: mức nước-khí	multiple_sibling_or_alternate
21	suy tim, không đặc hiệu	68-91	I50.9	7	parent_child_alternatives	"[{""id"": ""I50.9"", ""sim"": 1.0, ""name"": ""Suy tim, không đặc hiệu""}, {""id"": ""I50"", ""sim"": 0.75, ""name"": ""Suy tim""}, {""id"": ""D60.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương một dòng hồng cầu mắc phải không đặc hiệu""}, {""id"": ""D61.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương không đặc hiệu khác""}, {""id"": ""D81.9"", ""sim"": 0.56, ""name"": ""Suy giảm miễn dịch hỗn hợp không đặc hiệu""}]"	-	parent_child_alternatives
27	hội chứng turner	48-64	Q96	7	multiple_sibling_or_alternate	"[{""id"": ""Q96"", ""sim"": 1.0, ""name"": ""Hội chứng Turner""}, {""id"": ""Q96.8"", ""sim"": 0.92, ""name"": ""Các dạng khác của hội chứng Turner""}, {""id"": ""Q96.9"", ""sim"": 0.92, ""name"": ""Hội chứng Turner, không đặc hiệu""}]"	-	multiple_sibling_or_alternate
27	hội chứng turner, không đặc hiệu	48-80	Q96.9	7	parent_child_alternatives	"[{""id"": ""Q96.9"", ""sim"": 1.0, ""name"": ""Hội chứng Turner, không đặc hiệu""}, {""id"": ""Q96"", ""sim"": 0.92, ""name"": ""Hội chứng Turner""}, {""id"": ""D46.9"", ""sim"": 0.5833, ""name"": ""Hội chứng loạn tủy xương không đặc hiệu""}, {""id"": ""E00.9"", ""sim"": 0.5833, ""name"": ""Hội chứng thiếu iod bẩm sinh, không đặc hiệu""}, {""id"": ""E24.9"", ""sim"": 0.5833, ""name"": ""Hội chứng Cushing, không đặc hiệu""}]"	-	parent_child_alternatives
28	rối loạn cảm xúc lưỡng cực khác	188-219	F31.8	7	parent_child_alternatives	"[{""id"": ""F31.8"", ""sim"": 1.0, ""name"": ""Rối loạn cảm xúc lưỡng cực khác""}, {""id"": ""F31"", ""sim"": 0.92, ""name"": ""Rối loạn cảm xúc lưỡng cực""}, {""id"": ""F31.9"", ""sim"": 0.6, ""name"": ""Rối loạn cảm xúc lưỡng cực không biệt định""}]"	-	parent_child_alternatives
33	suy tim, không đặc hiệu	154-177	I50.9	7	parent_child_alternatives	"[{""id"": ""I50.9"", ""sim"": 1.0, ""name"": ""Suy tim, không đặc hiệu""}, {""id"": ""I50"", ""sim"": 0.75, ""name"": ""Suy tim""}, {""id"": ""D60.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương một dòng hồng cầu mắc phải không đặc hiệu""}, {""id"": ""D61.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương không đặc hiệu khác""}, {""id"": ""D81.9"", ""sim"": 0.56, ""name"": ""Suy giảm miễn dịch hỗn hợp không đặc hiệu""}]"	- tiền sử lâm sàng	parent_child_alternatives
34	Bệnh gan do rượu	114-130	K70	7	unspecified_plus_specified	"[{""id"": ""K70"", ""sim"": 1.0, ""name"": ""Bệnh gan do rượu""}, {""id"": ""K70.9"", ""sim"": 0.92, ""name"": ""Bệnh gan do rượu, không đặc hiệu""}, {""id"": ""K70.2"", ""sim"": 0.7, ""name"": ""Bệnh xơ hóa gan do rượu""}]"	- bằng chứng	unspecified_plus_specified
37	Suy tim	114-121	I50	7	multiple_sibling_or_alternate	"[{""id"": ""I50"", ""sim"": 1.0, ""name"": ""Suy tim""}, {""id"": ""I11.0"", ""sim"": 0.75, ""name"": ""Bệnh tim do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I11.9"", ""sim"": 0.75, ""name"": ""Bệnh tim do tăng huyết áp, không suy tim (sung huyết)""}, {""id"": ""I13.0"", ""sim"": 0.75, ""name"": ""Bệnh tim và thận do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I13.2"", ""sim"": 0.75, ""name"": ""Bệnh tim và thận do tăng huyết áp, có suy tim (sung huyết) và suy thận""}]"	Đái tháo đường, có biến chứng bệnh lý thần kinh ngoại biên.	multiple_sibling_or_alternate
38	Suy tim	125-132	I50	7	multiple_sibling_or_alternate	"[{""id"": ""I50"", ""sim"": 1.0, ""name"": ""Suy tim""}, {""id"": ""I11.0"", ""sim"": 0.75, ""name"": ""Bệnh tim do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I11.9"", ""sim"": 0.75, ""name"": ""Bệnh tim do tăng huyết áp, không suy tim (sung huyết)""}, {""id"": ""I13.0"", ""sim"": 0.75, ""name"": ""Bệnh tim và thận do tăng huyết áp, có suy tim (sung huyết)""}, {""id"": ""I13.2"", ""sim"": 0.75, ""name"": ""Bệnh tim và thận do tăng huyết áp, có suy tim (sung huyết) và suy thận""}]"	-	multiple_sibling_or_alternate
41	hội chứng ruột kích thích	226-251	K58	7	multiple_sibling_or_alternate	"[{""id"": ""K58"", ""sim"": 1.0, ""name"": ""Hội chứng ruột kích thích""}, {""id"": ""K58.0"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, có tiêu chảy""}, {""id"": ""K58.9"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, không tiêu chảy""}, {""id"": ""I45.6"", ""sim"": 0.56, ""name"": ""Hội chứng kích thích sớm (hội chứng tiền kích thích)""}]"	Bệnh lý mãn tính:	multiple_sibling_or_alternate
41	hội chứng ruột kích thích	268-293	K58	7	multiple_sibling_or_alternate	"[{""id"": ""K58"", ""sim"": 1.0, ""name"": ""Hội chứng ruột kích thích""}, {""id"": ""K58.0"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, có tiêu chảy""}, {""id"": ""K58.9"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, không tiêu chảy""}, {""id"": ""I45.6"", ""sim"": 0.56, ""name"": ""Hội chứng kích thích sớm (hội chứng tiền kích thích)""}]"	Bệnh lý mãn tính: hội chứng ruột kích thích (được chẩn đoán	multiple_sibling_or_alternate
41	Viêm thực quản	478-492	K20	7	multiple_sibling_or_alternate	"[{""id"": ""K20"", ""sim"": 1.0, ""name"": ""Viêm thực quản""}, {""id"": ""K21.0"", ""sim"": 0.92, ""name"": ""Bệnh trào ngược dạ dày - thực quản với viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.92, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}, {""id"": ""K230*"", ""sim"": 0.92, ""name"": ""Viêm thực quản do laoA18.8""}]"	- nội soi (	multiple_sibling_or_alternate
41	hội chứng ruột kích thích	1277-1302	K58	7	multiple_sibling_or_alternate	"[{""id"": ""K58"", ""sim"": 1.0, ""name"": ""Hội chứng ruột kích thích""}, {""id"": ""K58.0"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, có tiêu chảy""}, {""id"": ""K58.9"", ""sim"": 0.92, ""name"": ""Hội chứng ruột kích thích, không tiêu chảy""}, {""id"": ""I45.6"", ""sim"": 0.56, ""name"": ""Hội chứng kích thích sớm (hội chứng tiền kích thích)""}]"	- Triệu chứng cách đây vài năm: tái phát buồn nôn và tiêu chảy, chẩn đoán	multiple_sibling_or_alternate
41	Viêm thực quản	3180-3194	K20	7	multiple_sibling_or_alternate	"[{""id"": ""K20"", ""sim"": 1.0, ""name"": ""Viêm thực quản""}, {""id"": ""K21.0"", ""sim"": 0.92, ""name"": ""Bệnh trào ngược dạ dày - thực quản với viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.92, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}, {""id"": ""K230*"", ""sim"": 0.92, ""name"": ""Viêm thực quản do laoA18.8""}]"	-	multiple_sibling_or_alternate
44	suy tim, không đặc hiệu	66-89	I50.9	7	parent_child_alternatives	"[{""id"": ""I50.9"", ""sim"": 1.0, ""name"": ""Suy tim, không đặc hiệu""}, {""id"": ""I50"", ""sim"": 0.75, ""name"": ""Suy tim""}, {""id"": ""D60.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương một dòng hồng cầu mắc phải không đặc hiệu""}, {""id"": ""D61.9"", ""sim"": 0.56, ""name"": ""Suy tủy xương không đặc hiệu khác""}, {""id"": ""D81.9"", ""sim"": 0.56, ""name"": ""Suy giảm miễn dịch hỗn hợp không đặc hiệu""}]"	-	parent_child_alternatives
5	bệnh trào ngược dạ dày- thực quản không có viêm thực quản	154-211	K21.9	7	parent_child_alternatives	"[{""id"": ""K20"", ""sim"": 0.92, ""name"": ""Viêm thực quản""}, {""id"": ""K21.9"", ""sim"": 0.63, ""name"": ""Bệnh trào ngược dạ dày - thực quản không có viêm thực quản""}]"	-	parent_child_alternatives
60	thoát vị hoành	638-652	K44	7	multiple_sibling_or_alternate	"[{""id"": ""K44"", ""sim"": 1.0, ""name"": ""Thoát vị hoành""}, {""id"": ""K44.0"", ""sim"": 0.92, ""name"": ""Thoát vị hoành có tắc, không hoại tử""}, {""id"": ""K44.1"", ""sim"": 0.92, ""name"": ""Thoát vị hoành có hoại tử""}, {""id"": ""K44.9"", ""sim"": 0.92, ""name"": ""Thoát vị hoành, không tắc hay hoại tử""}, {""id"": ""Q79.0"", ""sim"": 0.92, ""name"": ""Thoát vị hoành bẩm sinh""}]"	- Kêt quả không cho thấy	multiple_sibling_or_alternate
7	giai đoạn trầm cảm không đặc hiệu	88-121	F32.9	7	parent_child_alternatives	"[{""id"": ""F32.9"", ""sim"": 1.0, ""name"": ""Giai đoạn trầm cảm không đặc hiệu""}, {""id"": ""F32"", ""sim"": 0.92, ""name"": ""Giai đoạn trầm cảm""}, {""id"": ""F30.9"", ""sim"": 0.6, ""name"": ""Giai đoạn hưng cảm không đặc hiệu""}]"	- ho Rối loạn cảm xúc (trầm cảm) (tiền sử	parent_child_alternatives
